ID,Hook Style,Main Text,Comment Text
12,디테일 찬양,"일본은 진짜 이런 거 기가 막히게 만드는 듯;; 밥 먹다 옷에 흘린 얼룩용으로 아예 따로 나온 세제가 있음ㅋㅋ 세탁 전에 얼룩 부분에 발라놓는 건데 이런 디테일은 인정해야 됨 ㄷㄷ","DM 너무 몰려서 일일이 답을 못 줘서 미아내 😭 좌표는 프로필 링크에 모아두었엉👍 번호 [3번] 참고해줘"
13,아이디어/신박,"요리하다 길 잃을 일은 없겠네? 재료 놓을 자리까지 눈앞에 딱 보이니까 그냥 따라가면 되는 거잖아. 이런 생각은 누가 했지?","찾아보니까 이거 진짜 이케아에서 만든 거였어. 2017년 캐나다 이케아에서 이벤트로 배포했던 'Cook This Page'라는 레시피 종이인데, 12,500부가 몇 시간 만에 동났다고 함. 아쉽게도 지금은 판매하는 제품이 아니라서 대신 재료 넣고 간편하게 조리할 수 있는 용기로 찾아봤어."
14,실물/명품,"아니 샤넬 신상 카드지갑 뭐야;;; 겉은 시크한 블랙인데 열면 버건디라니ㅠㅠ 실물 존예라 손떨린다","[광고] 쓰던 건 이건데 아직도 가격이 넘 좋네??!! 역시 샤넬인가,,, 나도 팔까,,??🙃"
15,비교 체험,"블루베리 씻는 거, 그냥 물에 헹구면 끝인 줄 알았는데... 엄마가 시장에서 사 온 세척용기랑 비교해보니 세척력 차이가 생각보다 크네요","✔ 블루베리·포도·방울토마토 세척에 활용 ✔ 촘촘한 구조로 이물질 제거에 도움 과일 자주 먹는 집이라면 하나쯤 있어도 괜찮을 듯! ⬇ 제품정보 여기 ⬇"
16,경고/유혹,"무인양품은 진짜 위험한 곳이야... 친구들 만날 때 가볍게 선물로 주는데 며칠 지나서 다들 너무 좋다고 연락 오더라ㅋㅋ 이러니 무인양품 갈 때마다 장바구니를 채우지ㅠㅠ","무인양품 필수템이야! DM이 너무 많아와서 일일이 답변 못해 😂 프로필 링크에 정리해둘게 (검색번호 22번)"
17,품절 대란,"다이소 마케팅팀 일 안하냐?? 이 정도 인기면 그냥 세트로 같이 묶어서 팔아주세요;; 저 코시트는 매번 품절 ㅠㅠ","⬇ 매번 품절 이라 여기서 구매했어~💕 ⬇"
18,억울함/후회,"아니.. 캡슐커피로만 내렸는데 이맛 실화냐..?! 1일 1라떼하는 사람으로서 이 우유 미쳣네!! 찐하고 꼬숩고 끝맛이 세상 깔끔한데 1일 2라떼 할수없는 카페인 약자는 억울쓰","찐하고 깔끔해서 라떼로 딱이야~"
19,반전/가성비,"와,, 옆동 언니네 놀러갔다 집에 컵세척기 써보고 신세계경험 비쌀줄 알고 찾아보지도 않았는데 5만원도 안하는데 타공도 필요없다해서 바로주문함 ㅎㅎ","쓰는사람은 다 만족ㅋㅋ삶의 질이다르데"
20,압수/반전,"미니고데기 이거 너무 좋아서 선물하려고 무려 5개나 쟁였는데... 공항에서 전부 압수당함ㅠㅠ ""이걸 왜 다 가져가냐고..."" 했는데 알고 보니 한국에서도 살 수 있다고??","[광고] 무선이라 출근 했을때나 외출 했을 때 쓰기 넘 좋아!! ⬇ 정보는 아래 링크에! ⬇"
21,고민 해결,"화장실 청소 진짜 힘들었는데 이거 하나로 종결했어","⬇제품번호 029번 '스프레이 폼건' 구매링크 ⬇"
22,디자인/기능,"""무인양품 개발자님 어디계십니까??? 노벨상 받아가세요~~~~~ 뚜껑 안열고 빨대 들어가 아무리 흔들어 제껴도 절대 안새 하루종일 얼음 짱짱해 디자인 감성터져 도대체 뭔짓을 한건가요;;??ㅋㅋㅋㅋ ""","❤️스친이들 구매 금액에는 변동 없어!❤️ 이거 백퍼 커피 쳐돌이 짓이다!!"
23,조합 꿀팁,"스레드에서 비판텐 좋다길래 마데카크림 + 비판텐 섞어 발라봤는데 아니 씨ㅋㅋ 이 조합 뭐냐고 일주일에 2~3번, 면봉만큼 얇게 발랐는데 목주름이 전보다 덜 보여서 개놀람 요즘 목 컨디션 미쳤음ㅋㅋ","마데카크림 국민 주름 크림인 거 알지? 기존에 쓰던 크림인데 집에 쓰다 남은 비판텐 있길래 같이 사용해봤거든. 내가 써본 팁 공유 💡"
24,원룸템,"원룸에 이거 하나면 깔끔해져. 세상에 이런 게 있었네 싶더라. 자리 많이 차지하는 거 싫은 사람한테 특히 눈길 갈 듯. 원룸처럼 공간 넉넉하지 않은 곳에 딱 두기 좋아 보이고 깔끔한 느낌","원룸에 둘 거 찾는 사람 있을까봐 남겨둘게. 쿠팡파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니 다."
25,희귀템,"아니 근데 이거 아는 사람 없어? 진짜 달달 쫀득한 맛도리인데 이상하게 한국에서는 안유명하더라?","주의) 토스터에다 살짝 구워먹으면 기절할 수도 있어"
26,주방 종결,"주방 기름때 청소 이거로 끝냈다","⬇제품번호 066번 '붙이는 스테인리스' 구매링크 ⬇ 연하 기름때 방지 방수 알루미늄 육각 패턴 시트지"
27,수리 꿀템,"아니 가방 지퍼 고장나서 버릴 뻔했거든??? 근데 이거 걍 끼우니까 새 거 됨 ㄷㄷ 수리 키트 대박;; 진짜 삶의 질 상승템 인정임ㅠㅠ 손재주 없어도 걍 3초 컷 쌉가능;;","이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."
28,자세 교정,"울 필라테스 쌤이 승모근이랑 등살엔 이게 직빵이래서 매일 굴렸거든? 와 진심 소름;; 목 길어지고 어깨 라인 직각으로 내려앉은 거 실화냐고ㅋㅋㅋ 자세 구부정해서 곰 한 마리 얹고 살던 사람들 무조건 뇌빼고 등부터 펴봐야 됨ㅠㅠ","(광고)승모근 순삭 + 직각어깨 치트키 이거야;;"
29,편식 해결,"이 애호박 레시피 만드신 분 찾아가서 절이라도 올려야 함;;; 편식 심해서 야채는 입에도 안 대던 우리 집 상전들이 웬일로 싹싹 긁어먹고 더 달라고 난리임","아침마다 반찬 투정 싹 사라지게 만드는 계란 애호박 밥말이 💛 ✔ 재료: 계란 2개, 애호박 반 개, 밥, 식용유, 비법 양념 소스 ✔ 감칠왕 비법 소스 좌표:"
30,디저트급 요리,"여름 감자 싸길래 한 봉지 사왔거든? 세 개 남은 거 아침에 그냥 갈아버렸어 근데 이게 수프가 아니라 거의 디저트야 한 숟갈 뜨자마자 어깨가 움찔했다니까 카페에서 사 먹던 거랑 비교가 안 돼 주말 아침부터 이렇게 호강해도 되나 ㅋㅋ 좁은 주방인데 냄비 하나로 끝나잖아","**인생 감자스프 (4-6인분)** ✔ 준비물 양파 1/2개(85g 정도) 감자 3개(350g 정도) 무염버터 30g 우유 400g 생크림 100g 치킨스톡 1스푼 소금 후추 파마산치즈가루 모짜렐라치즈 약간 1. 감자와 양파는 얇게 슬라이스 2. 버터에 볶아주다가 우유 생크림 치킨스톡 넣고 끓임 3. 믹서에 갈고 끓이면서 치즈가루로 농도조절"
31,도쿄 구매각,"도쿄 돈키호테 매대 지나가는데 일본 직장인들이 빨간 상자만 몇 개씩 집어가더라 도대체 뭔가 싶어서 나도 슬쩍 따라 사봤거든? 집에 와서 써보자마자 1초 만에 납득함;;","양치하고 나면 이 표면이 뽀득뽀득 깐달걀마냥 닦여나감 🤤"
32,다이어트,"헬스장 관장님이 이거로 식단 한다길래 사봤거든 노른자 빠진 흰자라 40kcal에 단백질 7g인데 치즈 맛이라 안 퍽퍽하고 ㅈㄴ 맛있음 ㅋㅋ 이거 먹고 일주일 동안 3kg 빠짐 당분간 닭가슴살 쳐다보지도 않을 듯","⬇ 식단할때 이제 이건 필수야"
33,부활템,"다이슨 청소기 흡입력 줄어든 치니들 있어? 무인양품에서 이거 무조건 사와!! 헤드에 묵은 먼지 싹 긁어내니까 새 것처럼 부활함","👇 AS 센터 가려다 돈 굳었네ㅎㅎ👇"
34,다이어트 레시피,"아니 글쎄, 김에 오이 싸 먹었을 뿐인데 5일 만에 허리가 쏙 들어갔다? 솔직히 오이다이어트라길래 그냥 웃어넘겼거든. 뭐 얼마나 효과 있겠어 하고. 맛도 깔끔하고 몸도 가벼워지는 게, 요즘 이것만 계속 먹게 되더라. 이런 레시피는 진짜 나만 알고 싶음.","1분 컷! 건강하고 맛있는 아보카도 크래미 샐러드김밥 만들어봐요!🥑 1. 오이 채썰고 2. 크래미 잘게 찢고 3. 아보카도 다이스 4. 그릭요거트 스리라차 마요네즈 레몬즙 약간 섞어서 5. 먹기 직전, 구운 김에 샐러드를 얹어 바로 싸 먹으면 꿀맛! ✨ 👇 비법템은 여기"
